name,address,x,y,type,level,tel
인하대학병원,인천 중구 인항로 27,126.633626,37.457889,병원,권역센터,010-5932-2301
가톨릭대학교인천성모병원,부평구 동수로 56,126.725256,37.484748,병원,지역센터,010-4159-0119
인천국제성모병원,서구 심곡로100번길 25,126.683676,37.542297,병원,지역센터,010-2111-3706
검단탑병원,서구 청마로19번길,126.671066,37.592319,병원,지역센터,010-5420-6119
인천세종병원,계양문화로 20,126.736449,37.53202,병원,지역센터,010-3863-1191
나사렛국제병원,연수구 먼우금로 98,126.670345,37.407757,병원,지역센터,010-8330-9917
나은병원,서구 원적로 23,126.679927,37.489219,병원,지역센터,010-2733-9700
인천사랑병원,미추홀구 미추홀대로 726,126.680455,37.462139,병원,지역센터,010-4051-2119
부평세림병원,부평구 부평대로 175,126.720479,37.50694,병원,지역센터,010-9589-6210
한림병원,계양구 장제로 722,126.734144,37.532215,병원,지역센터,010-4033-5119
비에스종합병원,강화군 강화읍 충렬사로31,126.485165,37.736467,병원,지역기관,032-290-0119
온누리병원,서구 완정로 199(왕길동),,,병원,지역기관,
의료법인 성세의료재단 뉴 성민병원,"서구 칠천왕로33번길 17(석남동, 신석로70(석남1동, 성민병원))",,,병원,지역기관,
인천광역시의료원,"동구 방축로 217(송림동, 인천광역시 의료원)",,,병원,지역기관,
인천기독병원,중구 담동로30번길 10(율목동),,,병원,지역기관,
현대유비스병원,미추홀구 독배로 503(숭의동),,,병원,지역기관,
인천광역시의료원백령병원,"옹진군 백령면 백령로 233, 인천광역시의료원 백령병원",,,병원,지역기관,
인천힘찬종합병원,"인천 남동구 논현로 72-0(논현동, 인천힘찬종합병원)",,,병원,지역기관,
인천적십자병원,연수구 원인재로 263,,,병원,지역기관,
인천백병원,동구 샛골로 214,,,병원,지역기관,
가톨릭대부천성모병원,경기도 부천시 원미구 소사로 327,,,병원,지역센터,
다니엘종합병원,경기도 부천시 원미구 중동로 361,,,병원,지역기관,
부천세종병원,경기도 부천시 소사구 호현로489번길 28,,,병원,지역센터,
순천향대부속부천병원,경기도 부천시 원미구 조마루로 170,,,병원,지역센터,
광명성애병원,경기도 광명시 디지털로 36,,,병원,지역센터,
중앙대광명병원,경기도 광명시 덕안로 110,,,병원,지역센터,
고려대안산병원,경기도 안산시 단원구 적금로 123,,,병원,지역센터,
근로복지공단안산병원,경기도 안산시 상록구 구룡로 87,,,병원,지역기관,
대야의료재단한도병원,경기도 안산시 단원구 선부광장로 103,,,병원,지역센터,
사랑의병원,경기도 안산시 상록구 예술광장로 69,,,병원,지역기관,
플러스의료재단 단원병원,경기도 안산시 단원구 원포공원1로 20,,,병원,지역기관,
센트럴병원,경기도 시흥시 공단1대로 237,,,병원,지역기관,
시화병원,경기도 시흥시 군자천로 381,,,병원,지역센터,
신천연합병원,경기도 시흥시 복지로 57,,,병원,지역기관,
김포우리병원,경기도 김포시 감암로 11,,,병원,지역센터,
뉴고려병원,경기도 김포시 김포한강3로 283,,,병원,지역센터,
강화소방서(불은119안전센터),인천광역시 강화군 불은면 중앙로 505,,,소방,소방서,
강화119안전센터,인천광역시 강화군 강화읍 남문로23번길 11,,,소방,안전센터,
길상119안전센터,인천광역시 강화군 길상면 마니산로 93,,,소방,안전센터,
